index,manga_title
3190,Dear Boys Act 2
3191,G・DEFEND
3192,Full Contact
3193,Hanako to Guuwa no Teller
3194,Nogizaka Haruka no Himitsu
3195,Shounenha Karyuudo
3196,S-senjou no Tena
3197,I-Revo: Ice Revolution
3198,Sabu to Ichi Torimono Hikae
3199,Gyakuten Kenji
3200,Kuro Ookami to Gingitsune
3201,My Fair Neighbor
3202,Yuzumori-san
3203,"Kimi wa, Ore ga Suki da tte Ittara Donna Kao suru darou."
3204,Koisuru Shirokuma
3205,Rojiura Kurashi
3206,Trinity Seven-san
3207,Totsugimasen kara!
3208,Mado kara Madoka-chan
3209,Moekare wa Orange-iro
3210,Hakui no Ousama
3211,Sora no Kiseki Gaiden: Löwe Monogatari
3212,Kitto Aishiteshimaunda.
3213,Arifureta Shokugyou de Sekai Saikyou
3214,Inai Boku wa Hotarumachi ni Iru
3215,Watashi no Yuri wa Oshigoto desu!
3216,Madoromi Barmaid
3217,Seijo no Maryoku wa Bannou desu
3218,Youjo Senki Shokudou
3219,Kaguya-sama wo Kataritai
3220,Shishunki Renaissance! David-kun
3221,Kimi ga Shinu made Ato 100-nichi
3222,Majo ga Koisuru 5-byoumae
3223,Kamonohashi Ron no Kindan Suiri
3224,Tada no Renai nanka de Kikkonai: Kojirase Joushi to Fetish na Buka
3225,Lv1 Maou to One Room Yuusha
3226,Kimi to Shiranai Natsu ni Naru
3227,Momo Raba
3228,Maji de Watashi ni Koi Shinasai!
3229,Ookami-san to Shichinin no Nakama-tachi
3230,Beageruta
3231,Seishun Walker
3232,7 Senchi!
3233,Junai Bride
3234,Devil Survivor
3235,Renai Boukun
3236,Masamune-kun no Revenge
3237,Watashi no Tomodachi ga Motenai no wa Dou Kangaetemo Omaera ga Warui.
3238,Hal
3239,Arslan Senki
3240,Haru x Kiyo
3241,Kimi ni shika Kikoenai
3242,Galaxy Angel 2nd
3243,Rockman EXE
3244,Punch!
3245,Karasuma Kyouko no Jikenbo
3246,Short Program
3247,Fight no Akatsuki
3248,Majo
3249,Kaguya-hime
3250,Inukami!
3251,Koi ni Ochita Ouji-sama
3252,Di[e]ce
3253,Ringo Hoppe no Koi
3254,Kiss
3255,Rappi Rangai
3256,S no Yuiitsu! M no Zettai
3257,"Suki, Tokoro ni yori Arashi."
3258,Doushirou de Gozaru
3259,Honey Crush
